Time,Displacement,Force,Work
24.5999,447.00,38.56,17237.78
24.6499,428.00,38.56,16505.08
24.6999,438.00,38.60,16908.91
24.7499,445.00,38.69,17216.12
24.7999,442.00,38.60,17063.33
24.8499,436.00,38.65,16849.82
24.8999,409.00,38.52,15755.39
24.9499,385.00,38.48,14814.87
24.9999,394.00,38.52,15177.56
25.0499,411.00,38.60,15866.58
25.0999,423.00,38.65,16347.41
25.1499,433.00,38.65,16733.88
25.1999,436.00,38.65,16849.82
25.2499,453.00,38.69,17525.62
25.2999,462.00,38.73,17893.01
25.3499,474.00,38.77,18377.45
25.3999,474.00,38.85,18416.84
25.4499,459.00,38.77,17795.89
25.4999,460.00,38.77,17834.66
25.5499,467.00,38.77,18106.06
25.5999,472.00,38.77,18299.91
25.6499,480.00,38.81,18630.02
25.6999,484.00,38.77,18765.16
25.7499,488.00,38.85,18960.79
25.7999,484.00,38.81,18785.27
25.8499,484.00,38.81,18785.27
25.8999,493.00,38.77,19114.10
25.9499,489.00,38.77,18959.02
25.9999,491.00,38.81,19056.96
26.0499,482.00,38.81,18707.64
26.0999,486.00,38.81,18862.89
26.1499,478.00,38.77,18532.54
26.1999,490.00,38.81,19018.15
26.2499,487.00,38.81,18901.71
26.2999,505.00,38.85,19621.31
26.3499,546.00,38.81,21191.65
26.3999,580.00,38.81,22511.27
26.4499,572.00,38.85,22224.54
26.4999,571.00,38.85,22185.68
26.5499,531.00,38.81,20609.46
26.5999,469.00,38.73,18164.11
26.6499,416.00,38.52,16025.04
26.6999,311.00,38.27,11902.74
26.7499,203.00,37.73,7659.67
26.7999,107.00,35.74,3823.99
26.8499,36.00,24.48,881.27
26.8999,8.00,12.39,99.12
26.9499,35.00,0.01,0.35
26.9999,0.00,0.01,0.00
27.0499,1.00,0.01,0.01
27.0999,4.00,0.01,0.04
27.1499,1.00,0.01,0.01
27.1999,0.00,0.01,0.00
27.2499,0.00,0.01,0.00
27.2999,0.00,0.01,0.00
27.3499,1.00,0.01,0.01
27.3999,1.00,0.01,0.01
27.4499,2.00,0.01,0.02
27.4999,1.00,0.01,0.01
27.5499,2.00,0.01,0.02
27.5999,2.00,0.01,0.02
27.6499,3.00,0.01,0.03
27.6999,3.00,0.01,0.03
27.7499,2.00,0.01,0.02
27.7999,3.00,0.01,0.03
27.8499,1.00,0.01,0.01
27.8999,0.00,0.01,0.00
27.9499,3.00,0.01,0.03
27.9999,2.00,0.01,0.02
28.0499,0.00,0.01,0.00
28.0999,0.00,0.01,0.00
28.1499,0.00,0.01,0.00
28.1999,1.00,0.01,0.01
28.2499,0.00,0.01,0.00
