ave_filt_force,med_filt_force,ave_filt_mag,med_filt_mag,Class
-0.22,0.0,-694.3300000000002,-724.0,1
-0.18,0.0,-694.2900000000001,-724.0,1
-0.16,0.0,-694.24,-724.0,1
-0.14,0.0,-694.1999999999999,-724.0,1
-0.14,0.0,-694.1,-723.75,1
-0.14,0.0,-694.0800000000002,-723.75,1
-0.14,0.0,-694.0600000000001,-723.5,1
-0.18000000000000002,0.0,-708.86,-723.5,1
-0.12,0.0,-708.84,-723.5,1
-0.11999999999999997,0.0,-708.7800000000001,-723.5,1
-0.12,0.0,-708.7500000000001,-723.5,1
-0.13999999999999999,0.0,-708.73,-723.5,1
-0.13999999999999999,0.0,-708.71,-723.5,1
-0.13999999999999996,0.0,-693.84,-723.5,1
-0.11999999999999998,0.0,-693.86,-723.5,1
-0.12000000000000001,0.0,-693.8800000000001,-723.5,1
-0.14,0.0,-693.87,-723.5,1
-0.13999999999999999,0.0,-693.89,-723.5,1
-0.13999999999999999,0.0,-693.85,-723.5,1
-0.16,0.0,-693.83,-723.5,1
-0.17999999999999997,0.0,-693.8300000000002,-723.5,1
-0.19999999999999996,0.0,-693.8800000000001,-723.5,1
-0.19999999999999998,0.0,-693.85,-723.5,1
-0.16,0.0,-693.84,-723.5,1
-0.16,0.0,-693.8600000000001,-723.5,1
-0.14,0.0,-693.9000000000001,-723.5,1
-0.12000000000000001,0.0,-693.8800000000001,-723.5,1
-0.12000000000000001,0.0,-693.8600000000001,-723.5,1
-0.12,0.0,-693.8600000000001,-723.5,1
-0.12,0.0,-693.8000000000001,-723.5,1
-0.14,0.0,-693.8100000000001,-723.5,1
-0.14,0.0,-693.8100000000001,-723.5,1
-0.12,0.0,-693.8700000000001,-723.5,1
-0.16,0.0,-693.97,-723.5,1
-0.16,0.0,-693.94,-723.5,1
-0.16,0.0,-708.7500000000002,-723.5,1
-0.15999999999999998,0.0,-708.6800000000001,-723.5,1
-0.16,0.0,-708.69,-723.5,1
-0.16000000000000003,0.0,-708.7,-723.5,1
-0.16,0.0,-708.72,-723.5,1
-0.16,0.0,-708.74,-723.5,1
-0.14,0.0,-693.83,-723.5,1
-0.14,0.0,-693.82,-723.5,1
-0.14,0.0,-693.75,-723.5,1
-0.12000000000000001,0.0,-693.77,-723.5,1
-0.12000000000000001,0.0,-693.78,-723.5,1
-0.12000000000000001,0.0,-693.74,-723.5,1
-0.14,0.0,-693.76,-723.5,1
-0.14,0.0,-693.72,-723.5,1
-0.16,0.0,-693.7,-723.5,1
-0.13999999999999999,0.0,-693.7,-723.5,1
-0.18,0.0,-693.72,-723.5,1
-0.18,0.0,-693.7200000000001,-723.5,1
-0.18,0.0,-693.7800000000001,-723.5,1
-0.18,0.0,-693.8100000000001,-723.5,1
-0.18,0.0,-693.7800000000001,-723.5,1
-0.18,0.0,-693.8000000000001,-723.5,1
-0.14,0.0,-693.8000000000001,-723.5,1
-0.2,0.0,-693.82,-723.5,1
-0.2,0.0,-693.88,-723.5,1
-0.2,0.0,-693.88,-723.5,1
-0.18,0.0,-693.9100000000001,-723.5,1
-0.18,0.0,-693.9000000000001,-723.5,1
-0.18,0.0,-708.75,-723.5,1
-0.18,0.0,-708.74,-723.5,1
-0.18,0.0,-708.73,-723.5,1
-0.2,0.0,-708.78,-723.5,1
-0.2,0.0,-708.8100000000001,-723.5,1
-0.2,0.0,-708.84,-723.5,1
-0.2,0.0,-693.95,-723.5,1
-0.18,0.0,-693.99,-723.5,1
-0.18,0.0,-693.96,-723.5,1
-0.19999999999999998,0.0,-693.9100000000001,-723.5,1
-0.19999999999999998,0.0,-693.9300000000001,-723.5,1
-0.2,0.0,-693.95,-723.5,1
