Data[0],Time,Force,Mag,Accel,Gyro
1,8.3200,8.00,24.0000,0.8101,-0.1831
1,8.3400,4.00,27.0000,0.8101,-0.1831
1,8.3600,8.00,21.0000,0.8105,-0.1221
1,8.3800,6.00,22.5000,0.8099,-0.1831
1,8.4000,7.00,18.0000,0.8099,-0.1831
1,8.4200,6.00,22.5000,0.8113,-0.1831
1,8.4400,6.00,21.0000,0.8102,-0.2441
1,8.4600,6.00,24.0000,0.8099,-0.1831
1,8.4800,5.00,27.0000,0.8103,-0.1831
1,8.5000,7.00,25.5000,0.8097,-0.2441
1,8.5200,6.00,25.5000,0.8101,-0.1831
1,8.5400,6.00,19.5000,0.8107,-0.1831
1,8.5600,7.00,24.0000,0.8104,-0.1831
1,8.5800,12.00,24.0000,0.8104,-0.1831
1,8.6000,5.00,22.5000,0.8109,-0.1831
1,8.6200,5.00,24.0000,0.8104,-0.1831
1,8.6400,6.00,27.0000,0.8105,-0.1831
1,8.6600,5.00,21.0000,0.8104,-0.1831
1,8.6800,4.00,22.5000,0.8108,-0.1831
1,8.7000,6.00,25.5000,0.8097,-0.1831
1,8.7200,6.00,27.0000,0.8109,-0.1831
1,8.7400,4.00,25.5000,0.8103,-0.1831
1,8.7600,7.00,25.5000,0.8108,-0.1831
1,8.7800,6.00,25.5000,0.8098,-0.1831
1,8.8000,7.00,28.5000,0.8099,-0.1831
1,8.8200,3.00,28.5000,0.8102,-0.1831
1,8.8400,6.00,22.5000,0.8104,-0.1831
1,8.8600,6.00,22.5000,0.8099,-0.1831
1,8.8800,10.00,24.0000,0.8097,-0.1831
1,8.9000,7.00,25.5000,0.8109,-0.1831
1,8.9200,6.00,27.0000,0.8104,-0.1221
1,8.9400,7.00,27.0000,0.8105,-0.1831
1,8.9600,5.00,28.5000,0.8099,-0.1831
1,8.9800,7.00,27.0000,0.8101,-0.1831
1,9.0000,5.00,24.0000,0.8103,-0.1831
1,9.0200,6.00,24.0000,0.8105,-0.1831
1,9.0400,6.00,25.5000,0.8097,-0.1831
1,9.0600,7.00,25.5000,0.8104,-0.1831
1,9.0800,7.00,24.0000,0.8108,-0.1831
1,9.1000,6.00,22.5000,0.8096,-0.1831
1,9.1200,6.00,27.0000,0.8102,-0.1831
1,9.1400,8.00,25.5000,0.8102,-0.1831
1,9.1600,6.00,25.5000,0.8105,-0.1831
1,9.1800,6.00,25.5000,0.8103,-0.1831
1,9.2000,7.00,28.5000,0.8107,-0.1831
1,9.2200,5.00,25.5000,0.8108,-0.1831
1,9.2400,6.00,24.0000,0.8108,-0.1831
1,9.2600,5.00,25.5000,0.8098,-0.1831
1,9.2800,6.00,25.5000,0.8104,-0.1831
1,9.3000,5.00,24.0000,0.8097,-0.1831
1,9.3200,9.00,25.5000,0.8098,-0.1831
1,9.3400,7.00,27.0000,0.8107,-0.1831
1,9.3600,4.00,24.0000,0.8105,-0.1831
1,9.3800,10.00,24.0000,0.8107,-0.1831
1,9.4000,7.00,22.5000,0.8098,-0.1831
1,9.4200,8.00,22.5000,0.8108,-0.1831
1,9.4400,8.00,24.0000,0.8099,-0.1831
1,9.4600,10.00,25.5000,0.8097,-0.1831
1,9.4800,7.00,25.5000,0.8108,-0.1831
1,9.5000,6.00,27.0000,0.8094,-0.1831
1,9.5200,10.00,25.5000,0.8103,-0.1831
1,9.5400,6.00,24.0000,0.8104,-0.1831
1,9.5600,4.00,25.5000,0.8109,-0.1831
1,9.5800,7.00,24.0000,0.8105,-0.1831
1,9.6000,6.00,27.0000,0.8107,-0.1831
1,9.6200,4.00,21.0000,0.8096,-0.1831
1,9.6400,6.00,22.5000,0.8104,-0.1831
1,9.6600,5.00,24.0000,0.8110,-0.1831
1,9.6800,7.00,24.0000,0.8104,-0.1831
1,9.7000,6.00,19.5000,0.8103,-0.1831
1,9.7200,7.00,27.0000,0.8102,-0.1831
1,9.7400,6.00,25.5000,0.8103,-0.1831
1,9.7600,4.00,27.0000,0.8103,-0.1831
1,9.7800,7.00,22.5000,0.8104,-0.1831
1,9.8000,6.00,22.5000,0.8107,-0.1831
1,9.8200,6.00,25.5000,0.8102,-0.1831
1,9.8400,8.00,13.5000,0.8101,-0.1831
1,9.8600,4.00,24.0000,0.8112,-0.1831
1,9.8800,6.00,25.5000,0.8091,-0.1831
1,9.9000,6.00,22.5000,0.8104,-0.1831
1,9.9200,7.00,22.5000,0.8109,-0.1831
1,9.9400,6.00,25.5000,0.8108,-0.2441
1,9.9600,5.00,28.5000,0.8105,-0.1831
1,9.9800,5.00,27.0000,0.8101,-0.1831
1,10.0000,6.00,27.0000,0.8098,-0.1831
1,10.0200,7.00,22.5000,0.8102,-0.1831
1,10.0400,6.00,19.5000,0.8103,-0.1831
1,10.0600,4.00,27.0000,0.8107,-0.1831
1,10.0800,8.00,24.0000,0.8102,-0.1831
1,10.1000,6.00,24.0000,0.8110,-0.1831
1,10.1200,7.00,21.0000,0.8104,-0.1831
1,10.1400,6.00,28.5000,0.8110,-0.1831
1,10.1600,4.00,27.0000,0.8104,-0.1831
1,10.1800,6.00,25.5000,0.8097,-0.1831
1,10.2000,7.00,21.0000,0.8103,-0.1831
1,10.2200,6.00,22.5000,0.8107,-0.1831
1,10.2400,7.00,21.0000,0.8104,-0.1831
1,10.2600,5.00,21.0000,0.8102,-0.1831
