ave_filt_force,med_filt_force,ave_filt_mag,med_filt_mag,ave_filt_accel,med_filt_accel,ave_filt_gyro,med_filt_gyro,Class
-0.26,0.0,-731.75,-731.5,-731.75,-731.5,-731.75,-731.5,1
-0.28,0.0,-731.78,-731.5,-731.78,-731.5,-731.78,-731.5,1
-0.28,0.0,-731.79,-731.5,-731.79,-731.5,-731.79,-731.5,1
-0.28,0.0,-731.77,-731.5,-731.77,-731.5,-731.77,-731.5,1
-0.28,0.0,-731.77,-731.5,-731.77,-731.5,-731.77,-731.5,1
-0.28,0.0,-731.74,-731.5,-731.74,-731.5,-731.74,-731.5,1
-0.28,0.0,-731.72,-731.5,-731.72,-731.5,-731.72,-731.5,1
-0.28,0.0,-731.6700000000001,-731.5,-731.6700000000001,-731.5,-731.6700000000001,-731.5,1
-0.28,0.0,-731.6899999999999,-731.5,-731.6899999999999,-731.5,-731.6899999999999,-731.5,1
-0.28,0.0,-731.68,-731.5,-731.68,-731.5,-731.68,-731.5,1
-0.30000000000000004,0.0,-731.66,-731.5,-731.66,-731.5,-731.66,-731.5,1
-0.30000000000000004,0.0,-731.6,-731.5,-731.6,-731.5,-731.6,-731.5,1
-0.28,0.0,-731.5600000000001,-731.5,-731.5600000000001,-731.5,-731.5600000000001,-731.5,1
-0.28,0.0,-731.55,-731.5,-731.55,-731.5,-731.55,-731.5,1
-0.30000000000000004,0.0,-731.51,-731.5,-731.51,-731.5,-731.51,-731.5,1
-0.30000000000000004,0.0,-731.44,-731.5,-731.44,-731.5,-731.44,-731.5,1
-0.3,0.0,-731.4200000000001,-731.5,-731.4200000000001,-731.5,-731.4200000000001,-731.5,1
-0.28,0.0,-731.3400000000001,-731.5,-731.3400000000001,-731.5,-731.3400000000001,-731.5,1
-0.30000000000000004,0.0,-731.3400000000001,-731.5,-731.3400000000001,-731.5,-731.3400000000001,-731.5,1
-0.30000000000000004,0.0,-731.28,-731.5,-731.28,-731.5,-731.28,-731.5,1
-0.30000000000000004,0.0,-731.2600000000001,-731.5,-731.2600000000001,-731.5,-731.2600000000001,-731.5,1
-0.26,0.0,-731.2300000000001,-731.5,-731.2300000000001,-731.5,-731.2300000000001,-731.5,1
-0.26,0.0,-731.21,-731.5,-731.21,-731.5,-731.21,-731.5,1
-0.24000000000000002,0.0,-731.15,-731.5,-731.15,-731.5,-731.15,-731.5,1
-0.24000000000000002,0.0,-731.12,-731.25,-731.12,-731.25,-731.12,-731.25,1
-0.24000000000000002,0.0,-731.12,-731.25,-731.12,-731.25,-731.12,-731.25,1
-0.26,0.0,-731.09,-731.0,-731.09,-731.0,-731.09,-731.0,1
-0.26,0.0,-731.07,-731.0,-731.07,-731.0,-731.07,-731.0,1
-0.24000000000000002,0.0,-731.09,-731.25,-731.09,-731.25,-731.09,-731.25,1
-0.26,0.0,-731.09,-731.25,-731.09,-731.25,-731.09,-731.25,1
-0.26,0.0,-731.0500000000001,-731.25,-731.0500000000001,-731.25,-731.0500000000001,-731.25,1
-0.28,0.0,-731.0200000000001,-731.0,-731.0200000000001,-731.0,-731.0200000000001,-731.0,1
-0.26,0.0,-731.0100000000001,-731.0,-731.0100000000001,-731.0,-731.0100000000001,-731.0,1
-0.24,0.0,-730.99,-731.0,-730.99,-731.0,-730.99,-731.0,1
-0.24,0.0,-731.0,-731.0,-731.0,-731.0,-731.0,-731.0,1
-0.26,0.0,-730.94,-731.0,-730.94,-731.0,-730.94,-731.0,1
-0.28,0.0,-730.96,-731.0,-730.96,-731.0,-730.96,-731.0,1
-0.28,0.0,-730.98,-731.0,-730.98,-731.0,-730.98,-731.0,1
-0.28,0.0,-730.97,-731.0,-730.97,-731.0,-730.97,-731.0,1
-0.28,0.0,-730.98,-731.0,-730.98,-731.0,-730.98,-731.0,1
-0.28,0.0,-730.9100000000001,-731.0,-730.9100000000001,-731.0,-730.9100000000001,-731.0,1
-0.28,0.0,-730.8400000000001,-731.0,-730.8400000000001,-731.0,-730.8400000000001,-731.0,1
-0.28,0.0,-730.7700000000001,-731.0,-730.7700000000001,-731.0,-730.7700000000001,-731.0,1
-0.26,0.0,-730.72,-730.75,-730.72,-730.75,-730.72,-730.75,1
-0.26,0.0,-730.73,-730.75,-730.73,-730.75,-730.73,-730.75,1
-0.28,0.0,-730.75,-731.0,-730.75,-731.0,-730.75,-731.0,1
-0.26,0.0,-730.71,-730.75,-730.71,-730.75,-730.71,-730.75,1
-0.24000000000000002,0.0,-730.6800000000001,-730.5,-730.6800000000001,-730.5,-730.6800000000001,-730.5,1
-0.24,0.0,-730.6700000000001,-730.5,-730.6700000000001,-730.5,-730.6700000000001,-730.5,1
-0.22000000000000003,0.0,-730.7,-730.75,-730.7,-730.75,-730.7,-730.75,1
-0.22,0.0,-730.65,-730.75,-730.65,-730.75,-730.65,-730.75,1
-0.21999999999999997,0.0,-730.59,-730.5,-730.59,-730.5,-730.59,-730.5,1
-0.22,0.0,-730.5900000000001,-730.5,-730.5900000000001,-730.5,-730.5900000000001,-730.5,1
-0.21999999999999997,0.0,-730.63,-730.75,-730.63,-730.75,-730.63,-730.75,1
-0.23999999999999996,0.0,-730.6099999999999,-730.75,-730.6099999999999,-730.75,-730.6099999999999,-730.75,1
-0.24000000000000002,0.0,-730.62,-730.75,-730.62,-730.75,-730.62,-730.75,1
-0.24000000000000002,0.0,-730.5800000000002,-730.75,-730.5800000000002,-730.75,-730.5800000000002,-730.75,1
-0.22,0.0,-730.6100000000001,-731.0,-730.6100000000001,-731.0,-730.6100000000001,-731.0,1
-0.22,0.0,-730.6,-731.0,-730.6,-731.0,-730.6,-731.0,1
-0.24,0.0,-730.62,-731.0,-730.62,-731.0,-730.62,-731.0,1
-0.26,0.0,-730.57,-731.0,-730.57,-731.0,-730.57,-731.0,1
